IDexp,IDctl,rcode,effect,effectSD
ABRAM0199_T2,ABRAM0199_T1,ABRAM0199 ,0.13980694,0.109130498
ABRAM0199_T3,ABRAM0199_T1,ABRAM0199 ,0.135246223,0.119974275
ACKLA0201_T1,ACKLA0201_T2,ACKLA0201 ,-0.314710745,0.113331453
AHMAN0691_T2,AHMAN0691_T1,AHMAN0691 ,-0.094310679,0.212480721
ALBA0710_T1,ALBA0710_T2,ALBA0710 ,-0.616186139,0.170199988
ALBAI0808_T1,ALBAI0808_T2,ALBAI0808 ,-0.356674944,0.09314299
ALBAO0704_T2,ALBAO0704_T1,ALBAO0704 ,-0.074968843,0.183370599
AMADO0513_T2,AMADO0513_T1,AMADO0513 ,-0.01228103,0.210820931
ANDER0111_T2,ANDER0111_T1,ANDER0111 ,-0.061875404,0.144297004
ANDER0199_T2,ANDER0199_T1,ANDER0199 ,0.305596039,0.104086869
ARPIN0203_T2,ARPIN0203_T1,ARPIN0203 ,0.183946965,0.142734902
BACHE0812_T2,BACHE0812_T1,BACHE0812 ,-0.616186139,0.206873754
BAJET0794_T2,BAJET0794_T1,BAJET0794 ,0.041992796,0.176051157
BASEL0512_T1,BASEL0512_T2,BASEL0512 ,-0.579818495,0.183285253
BASEL0903_T2,BASEL0903_T1,BASEL0903 ,0.239931895,0.252576883
BASTH0496_T2,BASTH0496_T1,BASTH0496 ,0.012825624,0.170206088
BASTH0496_T3,BASTH0496_T1,BASTH0496 ,-0.498604273,0.197348791
BASTH0496_T4,BASTH0496_T1,BASTH0496 ,-0.216039943,0.180744248
BATIS0301_T2,BATIS0301_T1,BATIS0301 ,0.029558802,0.129676488
BELTR0791_T2,BELTR0791_T1,BELTR0791 ,-0.956808893,0.276312883
BENNE1088_T2,BENNE1088_T1,BENNE1088 ,-0.271118697,0.13355408
BERGH0612_T1,BERGH0612_T2,BERGH0612 ,-0.010050336,0.100267809
BEUSE0710_T2,BEUSE0710_T1,BEUSE0710 ,0.111383295,0.247219854
BLAJM0399_T2,BLAJM0399_T1,BLAJM0399 ,0.237005577,0.147369549
BLOHM0710_T2,BLOHM0710_T1,BLOHM0710 ,-0.020202707,0.023012635
BONNE1004_T2,BONNE1004_T1,BONNE1004 ,0.46107123,0.213590198
BONNE1100_T2,BONNE1100_T1,BONNE1100 ,-0.010050336,0.135791399
BONNE1102_T2,BONNE1102_T1,BONNE1102 ,0.157601337,0.152826576
BONTE0698_T2,BONTE0698_T1,BONTE0698 ,-0.246935785,0.137465432
BONTE1005_T2,BONTE1005_T1,BONTE1005 ,0.405465108,0.143084061
BURST0407_T2,BURST0407_T1,BURST0407 ,-0.002447435,0.353919673
BURST0907_T2,BURST0907_T1,BURST0907 ,0.046170307,0.298153537
BUZDA0297_T2,BUZDA0297_T1,BUZDA0297 ,0.098076049,0.149397868
BUZDA0297_T3,BUZDA0297_T1,BUZDA0297 ,0.147998572,0.151067964
BUZDA0696_T2,BUZDA0696_T1,BUZDA0696 A,-0.018669282,0.093967589
BUZDA0696_T4,BUZDA0696_T3,BUZDA0696 B,-0.046915193,0.112488568
BUZDA0701_T2,BUZDA0701_T1,BUZDA0701 ,0.18251706,0.095352691
BUZDA0701_T3,BUZDA0701_T1,BUZDA0701 ,0.217515594,0.096036867
BUZDA0712_T2,BUZDA0712_T1,BUZDA0712 ,-0.045924758,0.173842179
BUZDA0712_T3,BUZDA0712_T1,BUZDA0712 ,0.505777557,0.294485329
BYRNE0997_T2,BYRNE0997_T1,BYRNE0997 ,-0.205733708,0.12825
CALAB0291_T2,CALAB0291_T1,CALAB0291 ,-0.53672739,0.146952711
CAPOT0103_T2,CAPOT0103_T1,CAPOT0103 ,0.158401777,0.300203007
CAPOT0103_T3,CAPOT0103_T1,CAPOT0103 ,0.11919487,0.235440727
CASTI1193_T2,CASTI1193_T1,CASTI1193 ,0.347764271,0.167554272
CHAN1004_T2,CHAN1004_T1,CHAN1004 ,0.465858466,0.189138922
CHIA0408_T2,CHIA0408_T1,CHIA0408 ,0.042903179,0.075252213
CREAG1184_T2,CREAG1184_T1,CREAG1184 ,0.326832109,0.251360166
DELEN0290_T2,DELEN0290_T1,DELEN0290 ,0.283320866,0.351674586
DIERA0495_T2,DIERA0495_T1,DIERA0495 ,0.592470252,0.254337054
DIRIX0308_T2,DIRIX0308_T1,DIRIX0308 ,-0.147507604,0.209460794
GIANN0210_T2,GIANN0210_T1,GIANN0210 ,-1.158132893,316.2278178
GOSS0199_T2,GOSS0199_T1,GOSS0199 ,-0.008849615,324.4428415
GOSS1107_T2,GOSS1107_T1,GOSS1107 ,-0.000562357,0.073666668
HARBE0117_T1,HARBE0117_T2,HARBE0117 ,0.076961041,0.180161286
HARRI0102_T2,HARRI0102_T1,HARRI0102 ,-0.081018417,0.147050523
HAYES1095_T2,HAYES1095_T1,HAYES1095 ,0.028960204,0.101629771
HAYES1095_T3,HAYES1095_T1,HAYES1095 ,0.094007739,0.099520561
HEIDN1102_T2,HEIDN1102_T1,HEIDN1102 ,0.11611878,0.138628123
HENDE0589_T2,HENDE0589_T1,HENDE0589 ,0.030771659,324.4428412
HORI0901_T2,HORI0901_T1,HORI0901 ,0.064538521,324.4428385
HOWEL0504_T2,HOWEL0504_T1,HOWEL0504 ,0.158715048,0.091918289
HOWEL0802_T2,HOWEL0802_T1,HOWEL0802 ,0.05384304,0.100004607
HUOBE0212_T2,HUOBE0212_T1,HUOBE0212 A,-0.512186568,0.366396261
LIN0107_T2,LIN0107_T1,LIN0107 ,0.565039652,0.241893244
LIPPM0184_T2,LIPPM0184_T1,LIPPM0184 ,-0.322342895,0.248918452
LOPEZ1289_T2,LOPEZ1289_T1,LOPEZ1289 ,1.792142743,316.2277612
NIELS0600_T2,NIELS0600_T1,NIELS0600 ,-0.412452716,0.18184693
NIELS1211_T2,NIELS1211_T1,NIELS1211 ,0.017804625,324.4428412
OSBOR0702_T2,OSBOR0702_T1,OSBOR0702 ,0.092977375,0.105427264
OSHAU0602_T2,OSHAU0602_T1,OSHAU0602 ,0.373087703,0.090768445
OSHAU0901_T2,OSHAU0901_T1,OSHAU0901 ,0.426935878,0.241232351
PAGAN0217_T2,PAGAN0217_T1,PAGAN0217 ,-0.628368135,0.179783433
PALMI1112_T2,PALMI1112_T1,PALMI1112 ,0.403987411,0.558702059
PAPAD0309_T2,PAPAD0309_T1,PAPAD0309 ,-0.073010481,0.264418608
PAVES0395_T2,PAVES0395_T1,PAVES0395 ,0.052643733,324.44284